first_year,fixed_runtime,is_action,is_adventure,is_animation,is_biography,is_comedy,is_crime,is_documentary,is_drama,is_family,is_fantasy,is_game,is_history,is_horror,is_music,is_musical,is_mystery,is_news,is_reality,is_romance,is_sci,is_short,is_sport,is_talk,is_thriller,is_war,is_western,release_month,release_weekday,release_monthday,stemmed_plot,stemmed_keywords,keyword_adult,keyword_african,keyword_alien,keyword_american,keyword_angel,keyword_anim,keyword_base,keyword_best,keyword_black,keyword_book,keyword_boy,keyword_boyfriend,keyword_brother,keyword_california,keyword_celebr,keyword_charact,keyword_child,keyword_citi,keyword_comedi,keyword_comedian,keyword_comic,keyword_cult,keyword_daughter,keyword_death,keyword_detect,keyword_doctor,keyword_evil,keyword_famili,keyword_father,keyword_femal,keyword_fiction,keyword_friend,keyword_friendship,keyword_gay,keyword_girl,keyword_girlfriend,keyword_hero,keyword_humor,keyword_husband,keyword_interraci,keyword_interview,keyword_investig,keyword_joke,keyword_life,keyword_live,keyword_love,keyword_male,keyword_man,keyword_marriag,keyword_mother,keyword_murder,keyword_offic,keyword_parent,keyword_parodi,keyword_play,keyword_polic,keyword_power,keyword_protagonist,keyword_relationship,keyword_satir,keyword_school,keyword_secret,keyword_sex,keyword_share,keyword_sister,keyword_sitcom,keyword_social,keyword_son,keyword_spoken,keyword_spoof,keyword_stand,keyword_student,keyword_superhero,keyword_supernatur,keyword_surreal,keyword_teenag,keyword_versu,keyword_villain,keyword_violenc,keyword_wife,keyword_woman,keyword_york,cancelled
2014,25.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,20.0,"[a, kid, western, center, on, a, kittycat, sheriff, whose, job, is, to, ensur, that, the, town, of, nice, and, friendli, corner, remain, the, friendliest, town, in, the, west]", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,6.0,1.0,"[the, adventur, of, a, boy, name, walli, trollman, and, hi, pet, dragon, norvil]", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,17.0,"[two, duck, fli, around, in, a, rocketpow, van, deliv, bread, to, other, duck, in, pondgea]",duck bread ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,43.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3.0,3.0,19.0,"[the, seri, is, set, 97, year, after, a, devast, nuclear, war, wipe, out, almost, all, life, on, earth, the, onli, known, survivor, are, the, resid, of, twelv, space, station, in, earth, orbit, prior, to, the, war, the, space, station, band, togeth, to, form, a, singl, massiv, station, name, the, ark, where, about, 2400, peopl, live, resourc, are, scarc, and, all, crime, no, matter, their, natur, or, sever, are, punish, by, death, float, unless, the, perpetr, is, under, 18, year, of, age, after, the, ark, life, support, system, are, found, to, be, critic, fail, one, hundr, juvenil, prison, are, declar, expend, and, sent, to, the, surfac, in, a, last, ditch, attempt, to, determin, if, earth, is, habit, again, the, teen, arriv, on, a, beauti, planet, theyv, onli, seen, from, space, confront, the, danger, of, thi, rug, new, world, they, struggl, to, form, a, tent, commun, howev, they, discov, that, not, all, human, wa, wipe, out, there, are, peopl, on, earth, who, surviv, the, war, call, grounder, by, the, 100, the, ark, consist, of, the, space, station, previous, repres, the, nation, of, the, uk, usa, australia, canada, china, japan, india, russia, venezuela, franc, brazil, and, uganda]",femal lead post apocalyps base on book number in seri titl nuclear war mutat digit in seri titl space space station teen in peril decept camp murder love fem ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,30.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5.0,11.0,"[sofia, is, a, littl, girl, with, a, common, background, until, her, mom, marri, the, king, and, suddenli, she, is, royalti, with, the, help, of, the, three, fairi, in, charg, of, the, royal, train, academi, sofia, learn, that, look, like, a, princess, isnt, all, that, hard, but, behav, like, one, must, come, from, the, heart]",talk anim child point of view femal protagonist princess bechdel test pass disney ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,20.0,"[the, saturday, are, follow, by, camera, as, the, british, girl, group, come, over, to, the, usa, to, work, on, a, new, album, and, live, the, hollywood, lifestyl]",british pop english music british music 2010 2010 music pop star pop music girl group pop group briton abroad british in america englishwoman abroad group name in titl three word titl ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2013,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,5.0,1.0,"[the, myriad, misadventur, of, all, the, sweet, littl, doll, friend, live, togeth, in, lalaloopsyland]", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,15.0,"[a, happi, young, hugglemonst, name, henri, goe, on, adventur, with, hi, friend, and, famili, when, they, run, into, problemshenri, find, a, way, to, save, the, day]", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,23.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,3.0,1.0,"[the, alway, odd, and, often, grossout, adventur, of, a, young, boy, name, sanjay, patel, and, hi, talk, pet, snake, craig]",boy snake flatul asian indian 11 year old movi star action hero blond girl 12 year old anim name in titl ,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,60.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,"[four, latina, maid, with, ambit, and, dream, of, their, own, work, for, the, rich, and, famou, in, beverli, hill]",latina maid work woman femal protagonist femal lead base on tv seri ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
